# Add your data here to generate awesome graphs ;) 
# Hint: Order does matter! A lot!
#
# ID, Date,       Distance, Duration, Pace, Speed, Burned,  Climb
# 
1,    2011-08-13,   5.98,     0.37,     6.20, 9.47,   256,  112
2,    2011-08-14,   7.41,     0.45,     6.09, 9.75,   317,  107     
3,    2011-08-14,   11.06,    0.59,     5.25, 11.06,  467,  23
4,    2011-08-25,   8.36,     0.28,     3.25, 17.55,  257,  39
5,    2011-08-26,   9.27,     0.33,     3.40, 16.30,  319,  33
6,    2011-08-28,   3.47,     0.10,     2.55, 20.60,  101,  7
7,    2011-08-30,   3.78,     0.13,     3.38, 16.49,  145,  4  
8,    2011-09-04,   17.80,    1.04,     3.39, 16.46,  592,  38
9,    2011-09-12,   10.72,    0.39,     3.38, 16.48,  379,  196
10,   2012-05-01,   33.82,    1.34,     2.48, 21.37,  1054, 181
11,   2012-05-17,   7.10,     0.34,     4.52, 12.33,  246,  75
12,   2012-05-22,   14.19,    0.52,     3.41, 16.29,  433,  104
13,   2012-05-26,   6.39,     0.37,     5.49, 10.31,  256,  86
14,   2012-06-02,   14.55,    0.51,     3.31, 17.06,  471,  163
15,   2012-06-02,   8.68,     0.38,     4.25, 13,57,  402,  70
16,   2012-06-02,   7.17,     0.28,     4.00, 15.02,  230,  22
17,   2012-06-07,   31.50,    2.35,     4.57, 12.13,  1214, 446
18,   2012-06-09,   14.75,    0.59,     4.01, 14.94,  532,  157
19,   2012-06-16,   14.16,    0.59,     4.12, 14.30,  515,  143
20,   2012-06-17,   11.84,    0.42,     3.37, 16.58,  378,  176
21,   2012-06-18,   16.00,    0.57,     3.15, 16.74,  630,  154
22,   2012-06-22,   18.10,    1.16,     4.15, 14.18,  648,  252
23,   2012-06-23,   14.07,    0.54,     3.54, 15.38,  458,  156
24,   2012-06-26,   16.28,    1.09,     4.17, 14.03,  582,  292
25,   2012-06-28,   17.65,    1.13,     4.11, 14.36,  618,  242
26,   2012-06-29,   7.30,     0.46,     6.22,  9.42,  389,  111    
27,   2012-06-30,   27.28,    1.47,     3.56, 15.24,  876,  379
